andpsorts url	profile description
putxet-sport-aie	------------
quality-tenis	"Padel,Tenis en Valdemorillo."
rcmb---rem-a-barcelona	"El RCMB (Reial Club Maritim de Barcelona) es uno de los clubs más antiguos de España. El primer nombre del club fue “Club de Regatas de Barcelona” y fue fundado en 1881, pero después de una convulsa etapa se dividió en 1902 en dos nuevas entidades el RCMB y el RCNB.El 4 con timonel del RCMB fue el primer equipo que participo en unos Juegos Olímpicos (Paris 1900) representando a España. La Federación Española de Remo fue fundada en las instalaciones del RCMB en 1918. La Federación Catalana de Remo fue también promovida por el RCMB en 1922.Como club “Marítimo”, que significa que esta relacionado con todos los deportes realizados en el mar, el RCMB fundo también la Federación Náutica Española (1911) y Catalana (1912), puntos de partida de las Federaciones Española y Catalana de Vela. Por ultimo, en 1930, el RCMB fue uno de los fundadores de la Federación Española de Motorismo Náutico, primer intento de creación de la Federación Española de Motonáutica (1965).Los deportistas del RCMB han ganado miles de premios nacionales y centenares de internacionales, incluyendo algunas medallas de oro olímpicas.El RCMB tiene actualmente un equipo de remo de competición de alto nivel y es sede del equipo de remo de la Universitat Politecnica de Catalunya. Ambos equipos entrenan en las instalaciones del puerto de Barcelona y en el Canal olímpico de Castelldefels.
Reial Club Maritim de Barcelona
Moll d’Espanya s/n08039 – BARCELONA(Spain)
Ph: +34.93.221.48.50
Fx: +34.93.221.55.66 caprem@maritimbarcelona.org
www.maritimbarcelona.org"
real-circulo-de-la-amistad	"Padel,Tenis en Córdoba."
real-club-de-regatas-de-alicante	Otro en Alacant.
real-club-de-tenis-betis	"Natación,Padel,Tenis en Sevilla."
real-club-de-tenis-de-san-sebastian	"Spinning,Padel,Tenis en Donostia."
real-club-recreativo-de-tenis	"Padel,Tenis en Huelva."
real-club-tenis-aviles	Padel en Avilés.
real-grupo-cultural-covadonga	"Atletismo,Correr,Jogging,Running en Gijón."
real-paraclub-valencia	"¿Quieres vivir emociones fuertes? ¿Estas cansado de la rutina diaria? ¿Te gustaría hacer un regalo especial e inolvidable? Acabas de llegar al lugar adecuado; REAL PARACLUB VALENCIA es la empresa que buscabas. Nos dedicamos a ofrecer saltos en tándem y cursos de paracaidismo para todo aquel que quiera vivir esta experiencia.

El paracaidismo es uno de los deportes aéreos mas impactantes; imagínate subido a una avioneta volando en mitad del cielo, con un instructor al que iras unido mediante un arnés. De repente, se abre la puerta y te asomas…la ciudad se ve ahí abajo, muy pequeña… ¿te atreverías a saltar? Ya no hay vuelta atrás, tu instructor te avisa, y a la de 3… ¡dais el salto!

Primero, saltando a unos 3500 metros de altura, unos 40 segundos de caída libre. Pura adrenalina, luego se abre el paracaídas y paseas por el cielo durante 7 u 8 minutos…
No tienes que preocuparte por nada, el instructor lo tiene todo controlado…
El material que necesitas para practicar la actividad lo ponemos nosotros, de este modo solo tienes que dejarte llevar, y venir con ganas de pasarlo bien.

Si el salto en paracaídas te gusta, podrás realizar cursos y convertirte en un profesional de esta actividad.

Si tienes un amigo de los que siempre quiso saltar, ahora es el momento para regalárselo. Nunca se lo Imaginara y tendrá como bonito recuerdo fotos y videos del salto que podrá ver y recordar tantas veces como desee.
Nuestra zona de salto esta en el aeródromo el Rebollar de Requena, Valencia. Estamos de Valencia a 55 km, unos 25 minutos.

Para cualquier consulta contacta con nosotros
REAL PARACLUB VALENCIA"
real-sociedad-de-tenis-de-la-magdalena	"Tenis,Tenis en Santander."
real-sociedad-hipica-de-valladolid	"Fútbol,Padel,Tenis en Valladolid."
real-zaragoza-club-de-tenis	"Fútbol,Natación,Padel en Zaragoza."
red-gym	"Estamos especializados en la mujer y por eso te ayudamos a conseguir tus objetivos. Tenemos clases de Zumba, Ritmos Latinos, Tonificación, Dance Kids, Mantenimiento y nuestro circuito Quemagrasas. Te ofrecemos también lo último en fitness, la Electroestimulación. Solo 20 minutos a la semana para conseguir resultados. Ven y prueba una clases gratis."
retamares-club-de-raqueta	"Padel,Tenis en Miraval."
riba-competicion	Tenis en Cerdanyola del Vallès.
river-guru	"RIVER GURU es una empresa de actividades de aventura especializada en deportes
acuáticos. Nuestro ámbito de actuación comprende toda el área de los Pirineos
occidentales contando con una base de actividades en Murillos de Gallego donde
aprovechamos el caudal del río, regulado por el Pantano de la Peña, para disfrutar de
una temporada de mas de 7 meses. Desde River Guru hemos apostado siempre por la
calidad de servicio, ofertando un trato personal y cercano.
Durante la primavera contamos con una carta de más de 4 ríos donde hacer rafting y
otras actividades de aventura en aguas bravas. Con nuestro proyecto “conoce tu río”
nos desplazamos hasta el río más cercano a cada localidad, acercando la diversión a
domicilio. Además de actividades con emoción y adrenalina como rafting y kayak,
realizamos paseos interpretativos en barca, por las zonas más tranquilas del río,
disfrutando de la vida natural que se crea entorno al río.
El equipo está formado por guías con más de 10 años de experiencia en el sector,
habiendo trabajado en Pirineos, Alpes, Andes, Rocosas, Himalaya… (Currículum a
disposición).
Somos además responsables de impartir cursos técnicos tales como
- Cursos de kayak en aguas bravas
- Cursos de rescate
- Expediciones a Nepal, India, México, Ecuador…"
river-guru-expediciones	"- Expediciones:

Cada año, a final de la temporada y junto con los clientes más aventureros, nos enrolamos en un
viaje de aventura, pensado para aquellos que quieren unas vacaciones diferentes.

• Nepal: trekking + rafting:
Un viaje de aventura de 15 días donde conoceremos la cultura milenaria en uno de los
lugares más emblemáticos del continente asiático. Practicaremos actividades de aventura
en un marco incomparable como el Himalya. 

Durante el trekking de aproximación, nos
empaparemos de las tradiciones y la vida rural influenciada por el budismo. Se trata de
una región donde vive el pueblo Sherpa, tan conocido por sus hazañas escalando los
grandes macizos del Himalaya. La actividad estrella se desarrollara en el río Tamur,
dando origen a uno de los raftings más espectaculares del mundo con más de 130
rápidos en 6 días de expedición."
river-guru-kayak	"11.- ESCUELA DE KAYAK RIVER GURU
La escuela de kayak River Guru tiene como objetivo formar kayakistas de todos los
niveles, desde iniciación hasta expertos. Contamos con guías experimentados y bien
titulados, tanto a nivel europeo como mundial. Kayakistas miembros de teams
especializados en kayak extremo. Desde River Guru te haremos un seguimiento para
que tengas una evolución rápida y segura.

Nuestra base en Murillo de Gallego.
Contamos con unas instalaciones
idóneas para la enseñanza del kayak, a
tan solo dos minutos del río. Esto hace
que resulte muy cómodo combinar la
navegación en el río, con la teoría en . La
base además dispone de zona de
esparcimiento adecuada para comer o
relajarse durante el tiempo libre.

Cursos:

Iniciación: 4 días. Es un curso desde donde partimos de cero. En estos cuatro días
aprenderás a navegar de manera autónoma en ríos de clase III. Aprenderás, técnicas de
paleo, natación, rescate, lanzamientos de cuerda... Navegaremos diferentes tramos del
río Gallego. El objetivo principal es aprender a descender el río de una forma segura.
Se darán nociones para que cada participante pueda seguir practicando aun después
del curso.

Avanzado: Es un curso para kayakistas nivel III que
todavía no tienen el eskimotaje pero que son capaces
de navegar diferentes ríos. Gente con un verano de
práctica y que navega en mar o ríos tranquilos. El
objetivo es aprender a eskimotear, perfeccionar la
técnica de paleo, lectura de río, aprender a elegir la
mejor línea, eskimotaje, elementos que componen la dinámica de las aguas bravas, etc.
El cursillista mejorará su consciencia sabiendo mejor el porque de cada fallo.
Sentaremos las bases para una progresión hacia ríos de nivel IV.

Master: Para piragüistas nivel III+/IV con eskimotaje. Kayakistas que han aprendido
de manera autónoma y que por alguna razón están estancados en este nivel. Ofertamos
una progresión guiada y más veloz, para aquellos locos de este deporte que quieren
progresar para remar ríos de nivel
IV sin estrés, gente que quiere
iniciarse al creek. Aprenderemos,
técnicas de rescate avanzadas,
técnicas de buff, timing, lectura de
río avanzada, porteos complicados,
técnica de paleo en situaciones de
stress, señales de mano y silbato...

Extreme: Para kayakistas nivel IV-V con experiencia en varios ríos y con algún curso
hecho con River Guru. Aprenderemos a navegar de la manera más segura posible en
ríos de alta dificultad. Conoceremos como minimizar al máximo los riesgos que estos
tramos implican. Practicaremos técnicas de paleo en corrientes turbulentas, técnica del
buff, aterrizajes, control del barco con el casco...etc."
river-guru-rafting-tour-pirineos	"Rafting Tour: Amplia oferta de
descensos en rafting pensados para
aquellos que buscan del rafting algo
más. Conoce nuevos ríos, explora
cañones inaccesibles, diviértete en
compañía de tus amigos/as

• Río Irati (Nivel III): Magnífico
recorrido por la selva de Irati,
mucha naturaleza e inyección de
adrenalina

• Río Esca (Nivel IV): Dos profundos cañones y más de 17 Km., en un recorrido
continuo y de alto nivel.

• Río Veral (Nivel IV): ""Foz Verde"" profundo y estrecho cañón considerado uno
de los más inhóspitos del pirineo.

• Río Aragón Subordán: (Nivel III) En época de lluvias encontraremos, enormes
olas con emoción asegurada

• Río Ara (Nivel IV): Rápidos intensos y continuados, aguas bravas de el más alto
nivel, en uno de los clásicos del Pirineo central."
roberto---entrenador-personal	Entrenador Personal en Madrid. Asesoramiento y motivación. Prueba gratis!
rocroi-andorra---nieve	"En invierno todo nuestro equipo se traslada a ANDORRA para dar continuidad a la variada oferta que disponemos en Rocroi. Nuestro centro de invierno se encuentra en la estación de esquí de GRANDVALIRA, estación más importante del Sur de Europa, desarrollamos todo tipo de actividades como, excursiones en moto de nieve, mushing (trineo tirado por perros), construcción de Iglús, vuelos en helicóptero y como actividad novedosa desde la temporada 08-09, estamos gestionando el Iglú-Hotel, único en el sur de Europa."
rocroi-llavorsi---rio-y-montana	"En Llavorsi (Pallars Sobirà) sede central, donde trabajamos desde principios de Primavera hasta mediados de Otoño, con actividades diversas como son el Rafting, Barranquismo, Hidrospeed, Kayak, Canoas, BTT, Rocodromo, Senderismo, Paintball e Hípica."
rocroi-vilanova---mar	"Nuestro objetivo es  poder ofrecer  todas las actividades relacionadas con el mundo del Outdoor. Con la misma vocación, Rocroi inauguró su centro en Vilanova i la Geltrú (BCN), enfocado a ofrecer actividades relacionadas con el mar a  particulares, familias, grupos, escuelas y empresas. Estas actividades abarcan desde cursos y stages de vela hasta paseos y excursiones guiadas en kayak por el litoral."
rogles-aventura	"Rogles Aventura es una empresa especializada en deportes de aventura y turismo activo. Nuestras especialidades son el piragüismo, las vias ferratas, las rutas en bicleta BTT, el senderismo y otras actividades de inmersión en la naturaleza y en el río Ebro.<br class="""">
<br class="""">
Las personas del equipo de Rogles Aventura somos monitores y guías titulados, con larga experiencia en deportes y actividades en el medio natural, con pasión por nuestro trabajo y amantes de la zona en la que actuamos, las Terres de l'Ebre y, más concretamente, la comarca de la Ribera d'Ebre; una zona insólita y salvaje, atravesada por un rio Ebro poco conocido y transitado.<br class="""">
<br class="""">
Y es esa conjunción de espacio natural sorprendente más un equipo profesional apasionado la que conforma el proyecto de Rogles Aventura."
roller-madrid	"Roller Madrid:
a continuación te informamos de todas las modalidades que existen para que veas cual es la que mejor se adapta a tus necesidades, ya sea un curso intensivo, clases individuales o grupos, funcionamos todo el año y todos los meses abrimos cursos de iniciación al patinaje. 

Nuestra filosofía es  abrir clases Durante todo el año pues la idea es que  nosotros nos adaptamos a los alumnos y no los alumnos a nosotros, las clases las damos normalmente en el parque El Retiro, pero si tienes un lugar en el que prefieras dar la clase, podemos llevar allí a nuestros profesores.

Te comento nuestras modalidades de Clases, para que veas cual crees que se adapta mejor a tus necesidades y disponibilidad. El horario depende del tipo de clases que escojas.


CURSOS DE INICIACIÓN: 

Todos los meses abrimos varios cursos en diferentes zonas de Madrid (Retiro, Juan Carlos I, Madrid Río…) dirigidos a personas que nunca han patinado o que quieren empezar desde cero para corregir los malos hábitos adquiridos con el auto-aprendizaje. Duran cuatro semanas a razón de una hora semanal y un precio es de 30 euros por curso y alumno. El próximo se inicia el 7 de mayo 

GRUPOS:

Para todos aquellos que no pueden adaptarse a los horarios y/o lugares de los cursos y escuelas, formamos los Grupos, con un mínimo de cuatro personas y un máximo de ocho. Podemos incluirte en uno ya formado o puedes formarlo tú mismo con tus amigos. El precio es de 35 euros por 8 clases al mes, repartidas en dos bloques: 4 horas de clases (una hora semanal) en el horario acordado con tu profesor (de lunes a viernes de 18:30 a 21:30 y los sábados de 10:00 a 14:00) y otras 4 horas de prácticas generales (también de una hora semanal) generalmente los viernes de 20:30 a 21:30 en El Retiro, donde nuestros  monitores resolverán vuestras dudas para que podáis mejorar vuestra técnica.

Somos la única escuela que te garantiza grupos tan pequeños, pues para nosotros lo más importante es que las personas aprendan bien a patinar y no masificar las clases. 

Además tenemos las clases para niños y padres  los sábados y domingos  a las 12:00, con un precio de 30 euros, en el que no se incluye la clase de los viernes.
Para las clases de prueba de grupo puedes elegir entre los viernes a las 19:30 ó los sábados a las 11:00, salvo las de los niños que serían los sábados a las 12:00.

CLASES PARTICULARES: 

Tienen un precio de 25 euros/hora en El Retiro, Madrid Rio o Juan Carlos I (pregunta por disponibilidad en estos sitios) y de 30 euros/hora si el profesor se tiene que desplazar a tu zona dentro de Madrid Capital. La ventaja de estas clases es que tú decides el lugar y el horario. Además, puedes venir con otras dos personas más por el mismo precio (3X1). Además, tienes una clase de prueba gratis, para que conozcas mejor nuestro método de enseñanza.
Opcionalmente y como complemento de las clases te ofrecemos, si lo deseas, un seguro anual de la Mutua Deportiva y la Federación Madrileña de Patinaje por un precio de 35 euros/año.
Aquí es donde puedes localizarnos: http://g.co/maps/3nwcp

MASTER CLASS

Pensado en quienes ya saben patinar y  quieren perfecccionar su  Técnica, por ejemplo frenar en derrape, bajar cuestas, ir hacia atrás, etc desde 30€ por clase pueden realizar un monogŕáfico de una hora para perfecccionar esa técnica que se nos resiste. 

Con respecto al material, además de los patines, son obligatorias todas las protecciones, incluido el casco. Si no tienes, lo puedes comprar o alquilar todo en BIKE &amp; ROLL (Avda. Menéndez Pelayo, 2. Tel. 911427793 – Mapa: http://g.co/maps/fhqv2). El alquiler del equipo completo son 10€ en total y puedes usarlo durante dos horas. Debes llamar antes para reservarlo.

Esperamos verte pronto y que te animes a patinar con nosotros.
Un saludo.
Juan
"
rolling-slap	"PROYECTO ROLLING SLAP
En 2008 empezamos a impartir clases para todas las edades en el Frontón de Egia, en Donostia, todos los domingos por la mañana de 11 a 1h. Los cursos son intensivos, de cuatro días y dos horas por clase. También realizamos otros cursos por la provincia, por las tardes de 6 a 8h.

El método utilizado funciona al 100%, con ejercicios, explicaciones, repeticiones, consejos y juegos que ayudan a que así sea. Además solemos organizar rutas urbanas por los carriles especiales (bidegorris)."
rugby-club-sitges	Rugby Club Sitges
sala-de-armas-de-madrid	"La Sala de Armas es el club de esgrima de Madrid más laureado en toda España.
Impartimos cursos de esgrima de iniciación desde los 4 años hasta los 99 años, practicando la esgrima de competición a florete, espada y sable
y la esgrima a nivel de ocio."
salufarma-parafarmacia	"SALUFARMA PARAFARMACIA: Somos un centro especializado en productos de parafarmacia, cosmética, dietetica y nutrición, alimentación celiaca, ortopedia, puricultura.. con nosotros también encontráis otros servicios orientados a la salud y el bienestar psicologico y físico de la personas, estos servicios son:
- Acupuntura.
- Clases de pilates ( también embarazadas y recuperación post parto)
- Quiromasaje
- Recuperación de lesiones.
- Clases de Tai chi chuan
- Entrenamiento personal y grupal
- Grupos de entrenamiento.
- Clases de tonificación y mantenimiento.
- Nutricionista y control de la ansiedad.
 "
sangha-yoga-castelldefels	"Estamos especializados en Hatha Yoga, Yoga para Embarazadas, y Yoga post parto Mamás &amp; bebés. 

Las clases son en grupos reducidos para poder prestarte una atención más personalizada... y siempre que el tiempo lo permite, cruzamos a la playa a disfrutar de una práctica más refrescante.

Trabajamos también el cuerpo con Shiatsu y Masaje Thailandés, conocidos como el Yoga pasivo, donde podrás relajarte mientras activas Cuerpo y Mente.

.....Y para los más entusiastas, clases de Meditación donde poder sumergirte y disfrutar en los Océanos de tu Mente.

Tratamos de ayudarte a encontrar el equilibrio, armonizando cuerpo, mente y espíritu para que puedas afrontar tu día a día con mayor vitalidad y alegría, procurándote un espacio y un tiempo en el que poder conectarte."
scenic-walking-barcelona	Ofrecemos excursiones guiadas por los parques naturales de la provincia de Barcelona y somos especialistas en Nordic Walking
sdp-los-mayencos	Otro en Jaca.
sei-shin-ryu-karate-do	"El estilo Sei-Shin-Ryu es un estilo de kárate que aunque es poco conocido en España cuenta con gran numero de seguidores en todo el Japón. El estilo fué fundado por el maestro KAZUO KIKUCHI a mediados de los años 50. El maestro KIKUCHI trabajó estilos como el Shoto-kan, Goju-Ryu y Shito-Ryu ademas del antiguo estilo Ryobu-kan. Fué alumno del gran maestro RYOSUKE KONISHI (YASUHIRO). 

Se caracteriza por su gran velocidad y esquiva. Utilizándose técnicas de ataque, inmovilización y roturas sobre las articulaciones. Contiene técnicas de Ju-jitsu. Se trabaja también el Ko-budo, entre otros, ""Bo"", ""Tonfa"" y ""Sai"". En este estilo se da gran importancia al Iai-do, manejo del sable japonés. 

Desde 1983, el Maestro Nishida Takashi 3º FUKU-KANCHO (RENSHI 8º DAN) impartía clases en el HOMBU DOYO TOKYO de Minatoku, Japón. Donde existen en la actualidad numerosas sucursales, además cuenta con sucursales en Estados Unidos, Filipinas, Australia y Europa.
En Europa, el máximo responsable es el maestro KOICHI YAEZAKURA. Actualmente imparte clases en San Sebastián (región del País Vasco), España.

CONCEPTOS GENERALES DEL KARATE-DO

El karate-do sigue la ruta general de todas las artes marciales. De los templos de la India pasa a China hacia el año 3.000 AC., pero los datos históricos datan del año 450 de nuestra era. Hacia el año 600 DC. Pasa a la isla de Okinawa de donde llegó hasta el Japón a finales del siglo XIX, y es allí donde los maestros MABUNI, FUNAKOSHI, MIYAGUI y otros empiezan a desarrollar y codificar lo que hoy conocemos como karate moderno.

Su desarrollo físico se une el orden espiritual las prácticas del Budismo-Zen y la intuición de los maestros.

KARATE-DO significa ""vía de la lucha sin armas""
KARA = vacío
TE = mano
DO = vía o camino

Pero el término KARA hace referencia a la situación anímica de pureza, equilibrio interior y liberación de los efectos morales. KARA es el vacío interior. "
seimardojo	"SEIMAR DOJO
Practica Artes Marciales
Karate Kyokushin
Taijitsu
Jujutsu
Tanbo-Jutsu
Yubi-Bo
Defensa personal"
sensei-de-kite	"Kitesurf,Surf en Mojácar."
seven-dance	"Antecedentes
Para recordar los inicios de Seven Dance debemos trasladarnos al año 2003. En ese momento y bajo el nombre de Open Dance, fue Rosa Ginés, apoyada por sus socios colaboradores y un excelente equipo de profesores, la encargada de crear los cimientos de la primera escuela de baile con franquicias en el territorio español. Gracias a la suma de esfuerzos conseguieron poco a poco hacer realidad el novedoso proyecto que en sus inicios sólo estaba plasmado en papel. 

La escuela se inaugura el miércoles 10 de diciembre del 2003 con una gran fiesta en la Sala Atic en la que se llevaron a cabo exhibiciones de Salsa, Baile de salón, Funky,Tango Argentino y Percusión. 

Gracias a reconocidas figuras del baile, que actualmente forman parte del equipo de profesores de la escuela, los más de seiscientos asistentes pudieron disfrutar del gran estreno a través de exhibiciones y talleres que los hicieron bailar hasta altas horas de la madrugada. Nuestra tarjeta de presentación y nuestra filosofía de trabajo quedó en evidencia a través de las clases magistrales que se pudieron ver y del buen ambiente que se respiraba. 

Desde ese momento se puede decir que el barco se adentra en el océano y en el mar, gracias al apoyo de esta gran tipulación. llevámos más de cinco años. Bajo la bandera de Open Dance hemos conseguido grandes logros. Debemos destacar que somos la escuela con más salas de Barcelona y la que cuenta con más metros cuadrados para realizar las clases; la que marca tendencia en el mundo del baile; la primera con servicios de valor añadido a través de las nuevas tecnologías -video formación online...-; y la primera que se adentra en el mundo de las franquicias para diversificar el servicio favoreciendo al cliente. 

Pasados 4 años de la fundación de la escuela decidimos dar un giro a la imagen corporativa de la empresa adaptándonos a los nuevos tiempos. Hace poco más de un mes, Open Dance pasa a denominarse Seven Dance, y bajo este nombre seguimos expandiéndonos, aumentando en franquicias y en número de alumnos. Podemos decir que ya contamos con más de 1.000 clientes que confían día a día en nosotros. 

El equipo Seven Dance S.L. trabaja cada día con la ilusión y con la esperanza de que cada una de las personas que respaldan nuestro esfuerzo, disfruten de nuestras clases y de una vida social más amplia. Te invitamos a esta travesía en la que el dicho «cuanto más seamos, mejor lo pasaremos» se hace evidente. 


Curriculum Rosa Ginés
Si repasamos el curriculum de Ginés debemos destacar los años de experiencia tanto en la dirección como en la enseñanza. En este tiempo ha destacado como gran profesional en cada uno de los proyectos en los que ha trabajado. 

Fue fundadora y directora hasta el año 2003 de la primera escuela de baile especializada en salsa de Barcelona, pionera en la enseñanza de salsa estilo los Ángeles, New York y Puertorriqueña, y la primera mujer que cantó rueda cubana de Barcelona. Gracias a ella, visitaron por primera vez Barcelona bailarines de élite de gran reconocimiento internacional. Grandes figuras como la portorriqueña Stacey López, los norteamericanos Rogelio Moreno y Megan Edner, o los italianos Tropical Gem mostraron los distintos estilos de salsa e hicieron disfrutara a un público salsero entregado en todos los sentidos. 

Ginés también fue promotora y organizadora del Congreso Salsa Barcelona 2002, en el que más de 60 bailarines de todo el mundo sorprendieron al público barcelonés con espectáculos y clases en cada una de las modalidades. Bailarines y compañias internacionales de la talla de la italiana Alexandra, el puertorriqueño Jorge Santana o los newyorquinos Franky Martínez y Aisha dejaron un trocito de su tierra natal en cada paso de baile. Por supuesto, el producto nacional no podía faltar. Los catalanes David y Gemma (D&amp;G), los madrileños José Antonio y Mila o los gaditantos Pura Salsa fueron un ejemplo de la denominación de origen española que estuvo presente. 

Por otro lado, Rosa ha colaborado junto a una productora de TV en la organización del Open de Salsa en Salou en diciembre del 2002. Este evento fue un campeonato que se retransmitió por TV3 y en el que ella estuvo presente en calidad de Directora de competición del mismo, tanto en variedad por parejas como por grupos. 

Estas experiencias enrriquecedoras le dieron las herramientas para embarcarse en una nueva aventura. Con mucho esfuerzo, pero sobretodo con mucha ilusión, Seven Dance ya es una realidad consagrada en la que Rosa, junto con un excelente equipo de trabajo, lleva el timón de una ambarcación de primera categoría. 
"
skytime	"SkyTime es un Centro-Escuela de alto reconocimiento internacional que se dedica a la enseñanza y desarrollo del paracaidismo deportivo. Empleamos las técnicas y materiales de aprendizaje más modernos en la actualidad. 

Skytime te ofrece el mejor servicio y ambiente para disfrutar de este apasionante deporte lleno de fuertes emociones. 
El Staff de Skytime cuenta con instructores profesionales que sabrán darte todo el apoyo necesario.
Nos encontramos en Castellón De La Plana frente a la Playa del Pinar  ""Aeródromo El Pinar ""
Disfrutarás de un mágico ambiente que te envolverá desde el principio.
 
¡¡ NUESTRA MAYOR SATISFACCIÓN ES VENDER FELICIDAD, 
NUESTRO OBJETIVO QUE TU SEAS EL SIGUIENTE !!


El Salto Tandem te ofrece la posiblidad de disfrutar de este deporte como si fueses un paracaidista profesional.

Tras una breve explicación de 10 min, un ascenso en avión a 4.000 mts y unido a un instructor mediante un arnés podrás realizar 50 segundos de caída libre y aproximadamente 7 minutos de vuelo en paracaídas. 

El salto también puede ir acompañado de una inolvidable grabación y/o sesión fotográfica realizada en caida libre por un cámara experto.
  

¡¡¡ HAZ YA TU SUEÑO REALIDAD !!!"
sleds	"Te brindamos la oportunidad de disfrutar de nuestro alquiler de motos de nieve, conociendo los paisajes de nuestro valle. Nuevo y amplio servicio cargado de nuevas sensaciones, para que conozcas recónditos lugares de nuestra  estación de Cerler y alrededores.
Podrás iniciarte en este fascinante mundo en el circuito permanente que tendremos montado en la zona del Ampriu. Desde allí iniciaremos nuestras excursiones guiadas por diferentes itinerarios.
Tenemos numerosas ofertas para proponerte, infórmate.
Horarios Circuito permanente:
de lunes a viernes 11,00 horas a 17,00 horas
Fines de semana y festivos 10,00 horas a 18,00 horas
Previa cita, salidas nocturnas."
solar-surf	"Bienvenido a Solar Surf
Adéntrate en el emocionante mundo del Surf y aprende a surfear de la mano de los mejores. Miembros de la Selección Nacional de Surf, además estamos Titulados por la Federación Española. Hemos surfeado por las olas de todo el mundo.
Te enseñaremos a practicar y perfeccionar este deporte con la mayor seguridad, estamos Titulados en Primeros Auxilios. Queremos que conozcas y disfrutes del mar tanto como nosotros. En la SOLAR ESCUELA DE SURF vivimos por y para el surf.<br class="""">
En nuestro local y punto de encuentro disponemos de acogedoras instalaciones donde podrás prepararte. La higiene para nosotros es muy importante, te prestamos la máxima calidad. No tienes que preocuparte por nada ya que tenemos todo el material, de las primeras marcas, necesario para la práctica de este deporte.

La SOLAR ESCUELA DE SURF, fue fundada en Suances, Cantabria en el año 2007, nace de la unión de tres de los miembros de la familia Solar, Pablo, Deva y Mirka. Creamos esta escuela de surf después de haber dedicado gran parte de nuestra vida a este deporte y aprovechando el alto palmarés deportivo que tenemos para acercar nuestra experiencia y transmitir nuestros conocimientos a nuestros alumnos. Enseñamos nuestro deporte a niños a partir de cuatro años (que sepan nadar) y a adultos de todas las edades. Impartimos clases enseñando conocimientos tanto de iniciación como de perfeccionamiento. Actualmente hemos creado un club de surf, para consolidar un equipo de competición en el que nos volcaremos para crear nuevos campeones. La SOLAR ESCUELA DE SURF, cuenta además con una amplia plantilla de monitores todos ellos con gran experiencia en el mundo del surf y titulados por la Federación Española de Surf."
sotonera-aventura	"Sotonera Aventura es una empresa de turismo de aventura ubicada en el entorno del embalse de La Sotonera, en el Prepirineo de Huesca.Registrada como empresa de Turismo Activo y de Aventura con el número TA-HU-153

Nuestras actividades se desarrollan en un marco natural de gran belleza, siendo posible observar numerosas especies vegetales propias de la zona, animales salvajes autóctonos y aves migratorias.

Realizamos actividades como: Campamentos de Verano, Actividades Multiaventura, Vela Ligera, Windsurf, Kayac, BTT, Tiro con arco, Senderismo, Orientación, etc.
Sus condiciones orográficas naturales hacen que la práctica de estas actividades puedan desarrollarse en todo su potencial educativo, recreativo y competitivo, disfrutando de las sensaciones que ofrecen.

Organizamos actividades individuales y para grupos, siempre dirigidas por monitores cualificados."
spinning-aragon-asociacion-aragonesa-de-spinning	Spinning en Zaragoza.
sport1	"Escola d'Arts Marciales-Fitness-Piscina

En nuestro gimnasio podrá encontrar distintas disciplinas de Artes Marciales.
Clases impartidas por profesores especializados con una amplia experiencia.
Disponemos de servicio de cafetería para nuestros clientes en un precioso jardín interior.
Primera visita gratuita para disfrutar del espacio.
En Julio y Agosto matrícula gratuita.
Ofrecemos: 
Taekwondo - Hapkido - Aikido.....
Musculación/ fitness
Aero-Latino - Gac - Mantenimiento - Total Body ....  y mucho mas. "
sport1-natacion-terapeutica	"SPORT 1 - Gimnasio 

CLASES DE NATACION TERAPEUTICA

Si tienes problemas de espalda como escoliosis, cifosis, lordosis o alguna patología que requiera fortalecimiento, recuperación y mejora en tu calidad de vida.
El gimnasio sport1 te ofrece un curso de natación terapéutica para jóvenes y adultos.

El curso se realizará en las instalaciones de la piscina durante el verano y el resto del año.
Dirigido a: personas con problemas posturales, dolor de espalda, de columna, fibromialgias, dolor de hombros, dedos, codos y manos, artrosis, artritis. 

Precio: 75€ mínimo 5 personas máximo 10.
Si estás interesado infórmate y apúntate en la recepción del club"
sporting-club-casino-de-la-coruna	"Fútbol,Natación,Tenis,Tenis de mesa en A Coruña."
spv-patinaje	"El SPV PATINAJE es un club con más de 20 años de existencia, conocido originalmente como SPV o Sp. de Vallecas, C.F.<br class="""">
Más de 10 años con las ruedas puestas avalan nuestro trabajo en la iniciación al patinaje en todas sus modalidades: iniciación, freestyle (organizadores de los últimos dos Campeonatos de España y primeras pruebas de nivel de la FMP), hockey línea y street hockey, patinaje artístico, patinaje agresivo,… Sin contar con las clases impartidas en distintos centros escolares o en la escuela municipal de patinaje del polideportivo Alberto García.<br class="""">
El SPV PATINAJE ofrece también actividades extraescolares para todos aquellos centros educativos interesados: clases de patinaje de todos los niveles, patinaje artístico, patinaje freestyle, street hockey o hockey línea infantil.<br class="""">
El hockey línea no es sólo cuestión de jugar en una pista, sino que también puedes practicar tu deporte favorito en la calle. Juega al STREET HOCKEY con el SPV apuntándote a uno de sus grupos.<br class="""">
Además contamos con una escuela infantil de hockey línea. Todas las facilidades para nuestros peques: monitores especializados en una pista de iniciación ubicada en la confluencia de Alberto Bosch con Avda. Ciudad de Barcelona."
stadium-venecia	"Padel,Tenis en Zaragoza."
